Año,D F,Reportado?,Categorías IPCC 2006,CO2-Absorciones en Gg,CO2 -Emisiones en Gg,CH4-Emisiones en Gg,N2O-Emisiones en Gg,HFC-32-Emisiones en Gg,HFC-125-Emisiones en Gg,HFC-134a-Emisiones en Gg,HFC-143a-Emisiones en Gg,HFC-152a-Emisiones en Gg,HFC-227ea-Emisiones en Gg,PFCs-Emisiones en Gg,SF6-Emisiones en Gg,NOX-Precursores en Gg,CO-Precursores en Gg,COVDM-Precursores en Gg,SO2-Precursores en Gg,CO2-Absorciones en Gg de CO2eq,CO2-Emisiones en Gg de CO2eq,CH4-Emisiones en Gg de CO2eq,N2O-Emisiones en Gg de CO2eq,HFC-32-Emisiones en Gg de CO2eq,HFC-125-Emisiones en Gg de CO2eq,HFC-134a-Emisiones en Gg de CO2eq,HFC-143a-Emisiones en Gg de CO2eq,HFC-152a-Emisiones en Gg de CO2eq,HFC-227ea-Emisiones en Gg de CO2eq,PFCs-Emisiones en Gg de CO2eq,SF6-Emisiones en Gg de CO2eq,Absorciones Totales.Gg de CO2eq,Emisiones totales (ΣGEI)-Gg de CO2eq,Con todas las emisiones y absorciones-Gg de CO2eq
1990,F,SI,1. Energía,NA,"41,555.62",244.13,3.06,NA,NA,NA,NA,NA,NA,NA,NA,636.22,"1,817.92","1,384.85","2,358.72",NA,"41,555.62","5,126.76",947.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47,630.14","47,630.14"
1990,F,SI,1A Actividades de quema de combustible,NA,"41,454.50",99.96,2.42,NA,NA,NA,NA,NA,NA,NA,NA,636.22,"1,817.92",286.30,"2,358.72",NA,"41,454.50","2,099.08",750.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44,303.63","44,303.63"
1990,F,SI,1A1   Industrias de la energía,NA,"10,530.63",1.76E-01,5.69E-02,NA,NA,NA,NA,NA,NA,NA,NA,487.64,139.98,18.31,"2,126.24",NA,"10,530.63",3.70,17.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,551.98","10,551.98"
1990,F,SI,1A1a   Producción de electricidad y calor como actividad principal,NA,"5,852.62",9.21E-02,4.72E-02,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.63,0.19,84.24,NA,"5,852.62",1.93,14.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,869.18","5,869.18"
1990,F,SI,1A1ai   Generación de electricidad,NA,"5,852.62",9.21E-02,4.72E-02,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.63,0.19,84.24,NA,"5,852.62",1.93,14.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,869.18","5,869.18"
1990,D,SI,Sistema interconectado nacional,NA,"5,852.62",9.21E-02,4.72E-02,NA,NA,NA,NA,NA,NA,NA,NA,11.11,2.63,0.19,84.24,NA,"5,852.62",1.93,14.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,869.18","5,869.18"
1990,D,SI,Zona no interconectada,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,x,SI,1A1aii   Generación combinada de calor y energía (CHP),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
1990,x,SI,1A1aiii   Plantas generadoras de energía (CHP),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
1990,D,SI,1A1b   Refinación de petróleo,NA,"3,415.27",6.47E-02,7.19E-03,NA,NA,NA,NA,NA,NA,NA,NA,4.76,2.29,0.15,0.00,NA,"3,415.27",1.36,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,418.86","3,418.86"
1990,F,SI,1A1c   Fabricación de combustibles sólidos y otras industrias energéticas,NA,"1,262.73",1.97E-02,2.55E-03,NA,NA,NA,NA,NA,NA,NA,NA,471.78,135.07,17.97,"2,042.00",NA,"1,262.73",4.14E-01,7.91E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,263.94","1,263.94"
1990,D,SI,1A1ci   Manufactura de combustibles sólidos,NA,346.48,6.19E-05,NE,NA,NA,NA,NA,NA,NA,NA,NA,470.27,134.51,17.93,"2,039.88",NA,346.48,1.30E-03,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.48,346.48
1990,F,SI,1A1cii   Otras industrias de la energía,NA,916.26,1.96E-02,2.55E-03,NA,NA,NA,NA,NA,NA,NA,NA,1.50,5.66E-01,4.03E-02,2.12,NA,916.26,4.12E-01,7.91E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,917.46,917.46
1990,D,SI,Extracción y procesamiento de petróleo y gas natural,NA,916.26,1.96E-02,2.55E-03,NA,NA,NA,NA,NA,NA,NA,NA,1.50,5.66E-01,4.03E-02,2.12,NA,916.26,4.12E-01,7.91E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,917.46,917.46
1990,D,SI,Producción de carbón,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,F,SI,1A2   Industrias manufactureras y de la construcción,NA,"8,847.13",2.44,3.37E-01,NA,NA,NA,NA,NA,NA,NA,NA,33.03,90.31,23.49,207.18,NA,"8,847.13",51.21,104.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9,002.67","9,002.67"
1990,D,SI,1A2a   Hierro y acero,NA,680.64,5.63E-02,8.77E-03,NA,NA,NA,NA,NA,NA,NA,NA,2.22,4.61,0.51,16.47,NA,680.64,1.18,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,684.54,684.54
1990,D,SI,1A2b   Metales no ferrosos,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
1990,D,SI,1A2c   Productos químicos,NA,706.75,7.50E-02,6.57E-03,NA,NA,NA,NA,NA,NA,NA,NA,1.87,2.71,0.43,9.31,NA,706.75,1.58,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,710.37,710.37
1990,D,SI,1A2d   Pulpa. papel e imprenta,NA,"1,737.93",2.62E-01,3.81E-02,NA,NA,NA,NA,NA,NA,NA,NA,4.44,17.21,2.45,53.19,NA,"1,737.93",5.50,11.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,755.23","1,755.23"
1990,D,SI,1A2e   Procesamiento de alimentos. bebidas y tabaco,NA,"1,349.71",1.68,2.26E-01,NA,NA,NA,NA,NA,NA,NA,NA,10.65,36.28,16.69,25.34,NA,"1,349.71",35.21,70.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,455.05","1,455.05"
1990,D,SI,1A2f   Minerales no metálicos,NA,"3,392.02",2.97E-01,4.53E-02,NA,NA,NA,NA,NA,NA,NA,NA,9.63,24.31,2.77,83.71,NA,"3,392.02",6.24,14.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,412.30","3,412.30"
1990,D,SI,1A2g   Equipo de transporte,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
1990,D,SI,1A2h   Maquinaria,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
